# Subdomain label patterns for category enrichment (Category<TAB>Pattern)
# Pattern types (first match wins, any hostname label):
#   exact       mail
#   prefix*     api-*       (api-v2)
#   *suffix     *-api       (foo-api)
#   *contains*  *cloud*     (mycloud)
#   -suffix     -admin      (portal-admin)
#   host.label  admin.pilot (admin.pilot.example.com; dotted patterns match full hostname)
Ven/Dev	jira-dev
Dev	jira-test.de
Vendor	jira*
Dev	*-dev
Dev	*-test
Dev	acctest-*
Dev	admin.pilot
Dev	admin.pilot2
Dev	admin.pilot3
Dev	admin.qa
Dev	admin.test
Dev	advantage-int.testsavvy
Dev	advantage.testsavvy
Dev	aoext1uat
Dev	aoext2uat
Dev	api-ipcenter-uat
Dev	api-qa.wfsvcs.ent
Dev	api-staging.wfsvcs.ent
Dev	approvalportaluat
Dev	approvalwebportaluat
Dev	auth.uadev
Dev	auth2fa.uadev
Dev	bis-qa
Dev	callpilot7
Dev	ccportaldev.ent
Dev	connect.uadev
Dev	conversationsmobileqa.ent
Dev	cureedgeuat
Dev	csapportalqa.ent
Dev	csapreportsqa.ent
Dev	dev-api.wisewatt
Dev	dev.azure.us.pulseai
Dev	devapi.iis
Dev	devd.c360
Dev	devs.c360
Dev	devt.c360
Dev	demo-retailsuite.imfr
Dev	dswebuat.ent
Dev	energyfutureqa
Dev	gatedev.de
Dev	gicedgeuat
Dev	irmdev.ent
Dev	itsm-dev-us
Dev	ixsdevapp11.ent
Dev	informationportaluat
Dev	ipcenter-uat.us
Dev	irmuat.ent
Dev	itsm-sh-uat-int
Dev	itsm-sh-uat-mt
Dev	itsm-sh-uat-myit
Dev	itsm-sh-uat-smartit
Dev	itsm-uat-int
Dev	itsm-uat-mt
Dev	itsm-uat-myit
Dev	itsm-uat-myit-catalog
Dev	itsm-uat-ps
Dev	itsm-uat-restapi
Dev	itsm-uat-smartit
Dev	itsm-uat-sso
Dev	itsm-uat-us
Dev	itsmaouat
Dev	itsmuat-ao.us
Dev	itsmuat-dsb.us
Dev	itsmuat-rep.us
Dev	itsmuat-services.us
Dev	itsmuat-sso.us
Dev	kiosk.uadev
Dev	lcasstesttrace
Dev	lite.uadev
Dev	management-foundation-execpreprod.ent
Dev	management-foundation-preprod.ent
Dev	myit-uat
Dev	obhdev.ent
Dev	otmservice-preprod.uk
Dev	panpsourcedev.ent
Dev	panpsourceuat.ent
Dev	performanceuat.ent
Dev	portailapprobationuat
Dev	portailapprobationwebuat
Dev	portaildinformationsuat
Dev	portailserviceuat
Dev	portailservicewebuat
Dev	portailsoutienuat
Dev	portailsoutienwebuat
Dev	preproditsc.govsk
Dev	proactioncauat.ent
Dev	proactionnpdev.ent
Dev	proactionnpdevint.ent
Dev	proactionnpuat.ent
Dev	proactionnpuatint.ent
Dev	progressiodev.ent
Dev	pswact.uadev
Dev	qcap.dev92.ent
Dev	ramp-devffx.govsk
Dev	ramp-preprod.govsk
Dev	ramp-qa.govsk
Dev	ramp-qaffx.govsk
Dev	ramp-uat.govsk
Dev	rb360sandbox.ratabase
Dev	rtvs-uat.govsk
Dev	rtvs-wsuat.govsk
Dev	rtvsivruat.govsk
Dev	rapidwebpilot
Dev	remedy-app-au-qa
Dev	rapidwebservicespilot
Dev	safe-driver-qa
Dev	sandbox.gcp.ca.pulseai
Dev	serviceportaluat
Dev	servicewebportaluat
Dev	smartimpactapipreprod
Dev	smartimpactpreprod
Dev	smartimpactsecurepreprod
Dev	sit.iis
Dev	sit1f-bi.c360
Dev	sit1f-etl.c360
Dev	sit1f.c360
Dev	sit1n-bi.c360
Dev	sit1n-etl.c360
Dev	sit1n.c360
Dev	sit1p-bi.c360
Dev	sit1p-etl.c360
Dev	sit1p.c360
Dev	sit1v.c360
Dev	sit2n-bi.c360
Dev	sit2n-etl.c360
Dev	sit2n.c360
Dev	sitapi.iis
Dev	sitd.c360
Dev	sitn.c360
Dev	sits.c360
Dev	sitt.c360
Dev	smartit-uat
Dev	stage01.tfs
Dev	smaf-stage.de
Dev	ssmcqa
Dev	supportportaluat
Dev	supportwebportaluat
Dev	timedev
Dev	timeqa
Dev	transpromoblcdev
Dev	uadev
Dev	uat1n-bi.c360
Dev	uat1n-etl.c360
Dev	uat1n.c360
Dev	uat2n-bi.c360
Dev	uat2n-etl.c360
Dev	uat2n.c360
Dev	uat2t.c360
Dev	uatapi.iis
Dev	uatcgi-ak.ent
Dev	uatcgi.ent
Dev	uatd.c360
Dev	uatn.c360
Dev	uats.c360
Dev	uatt.c360
Dev	uctoolqa.lifecycletools.ent
Dev	udev-vpn.unify360
Dev	usgl-qa-core.opex.ent
Dev	usgl-qa-pto.opex.ent
Dev	usgl-qa.opex.ent
Dev	mgwtest2.ent
Dev	ratabasetestdrive
Dev	test.azure.us.pulseai
Dev	testgateway.be
Dev	testgateway.nl
Dev	testing
Dev	testweblinks.be
Dev	testweblinks.nl
Dev	uk-test-local.unify360
Dev	vocdev.ent
Dev	vocuat.ent
Dev	vomdev.ent
Dev	vopdev.ent
Dev	web-dev-dws-gtocan.ua
Dev	webmethods.proactioncadevint.ent
Dev	webmethods.proactioncauatint.ent
Dev	ws.pilot2.efrikort
Dev	ws.pilot3.efrikort
Dev	x2rqa.mdc
Dev	yp-uat-myit
Admin	admin
Admin	-admin
Admin	admintool
Admin	console
Admin	dashboard
Admin	manage
Admin	management
API	*-api
API	api
API	api-*
API	graphql
API	rest
API	restapi
API	websocket
Cloud	*cloud*
Cloud	*dropbox*
Cloud	aws
Cloud	azure
Cloud	bitbucket
Cloud	bucket
Cloud	cloud
Cloud	docsign.eservices
Cloud	docusign
Cloud	dropbox
Cloud	firebase
Cloud	gcp
Cloud	github
Cloud	gitlab
Cloud	git
Cloud	s3
Dev	*demo
Dev	*test
Dev	beta
Dev	demo
Dev	dev
Dev	dev-*
Dev	development
Dev	nonprod
Dev	pilot
Dev	preprod
Dev	preview
Dev	qa
Dev	qa-*
Dev	sandbox
Dev	stage
Dev	staging
Dev	stg
Dev	test
Dev	uat
Dev	uat-*
Email	*mail
Email	autodiscover
Email	email
Email	exchange
Email	globalmail
Email	globalmail-*
Email	imap
Email	mail
Email	mail1
Email	mail2
Email	mail3
Email	mail4
Email	mail5
Email	mail6
Email	maila
Email	mailb
Email	owa
Email	pop
Email	smtp
Email	smtpgto
Email	smtprelay
Email	webmail
Infrastructure	*gateway*
